l,eta,error_type,CD_type,noise_model,pth,stderr
4,25.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0139280222622732,8.56486888603692e-06
4,25.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0074946321209839,3.550758165908588e-06
4,25.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0078456588189855,3.612700936330343e-06
5,25.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0147687637463145,7.130396658237621e-06
5,25.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0066413271669314,4.5175285926981465e-06
5,25.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0068264635323978,4.313891306709415e-06
6,25.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.015659767516546,1.636803247655801e-05
6,25.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0059409279178841,4.896432500170792e-06
6,25.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0060908360914469,4.615764867214747e-06
2,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0107935753924041,2.4595922662005946e-06
2,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.010803231824161,2.422625998564438e-06
2,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0107986917447401,1.8336056773174784e-06
3,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0127970538464595,1.051407714300038e-05
3,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.00890225160487,3.512324031079894e-06
3,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0095518350696869,3.6997445520723126e-06
4,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0139910742612873,1.099723680264028e-05
4,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0076199663713583,4.120981368968369e-06
4,50.0,TOTAL_MEM_PY,ZXXZonSqu,circuit_level,0.0079769163682703,4.418690852859971e-06
5,50.0,X_MEM_PY,ZXXZonSqu,circuit_level,0.0149101692652577,1.658837329392996e-05
5,50.0,Z_MEM_PY,ZXXZonSqu,circuit_level,0.0067275107579966,4.742912573332792e-06
